-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     213.920us         0.03%     213.920us       8.557us           0 b           0 b           0 b           0 b            25  
Cijk_Alik_Bljk_SB_MT16x16x16_MI16x16x4x1_SN_1LDSB0_A...         0.00%       0.000us         0.00%       0.000us       0.000us     191.040us         0.03%     191.040us       7.642us           0 b           0 b           0 b           0 b            25  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     116.320us         0.02%     116.320us       4.653us           0 b           0 b           0 b           0 b            25  
Cijk_Alik_Bljk_BBS_BH_MT64x16x128_MI16x16x16x1_SE_1L...         0.00%       0.000us         0.00%       0.000us       0.000us      88.981ms        11.92%      88.981ms      27.807us           0 b           0 b           0 b           0 b          3200  
Cijk_Alik_Bljk_BBS_BH_MT32x32x32_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us       3.985ms         0.53%       3.985ms      12.452us           0 b           0 b           0 b           0 b           320  
Cijk_Ailk_Bljk_BBS_BH_MT16x16x64_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      12.609ms         1.69%      12.609ms      15.761us           0 b           0 b           0 b           0 b           800  
Cijk_Alik_Bljk_BBS_BH_MT128x96x64_MI32x32x8x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     142.569ms        19.09%     142.569ms     178.211us           0 b           0 b           0 b           0 b           800  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.200us         0.00%      31.200us       4.457us           0 b           0 b           0 b           0 b             7  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      30.663ms         4.11%      30.663ms      19.963us           0 b           0 b           0 b           0 b          1536  
Cijk_Alik_Bljk_BBS_BH_MT64x16x32_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us       6.987ms         0.94%       6.987ms      14.556us           0 b           0 b           0 b           0 b           480  
