-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     239.842us         0.03%     239.842us       4.135us           0 b           0 b           0 b           0 b            58  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     208.386us         0.03%     208.386us       3.789us           0 b           0 b           0 b           0 b            55  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.825us         0.01%      65.825us       1.062us           0 b           0 b           0 b           0 b            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.247us         0.01%      61.247us       0.988us           0 b           0 b           0 b           0 b            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.352us         0.00%      32.352us       1.044us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.154us         0.00%      37.154us       1.199us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      38.624us         0.00%      38.624us       1.246us           0 b           0 b           0 b           0 b            31  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      45.986us         0.01%      45.986us       1.483us           0 b           0 b           0 b           0 b            31  
void at::native::tensor_kernel_scan_innermost_dim<lo...         0.00%       0.000us         0.00%       0.000us       0.000us      51.617us         0.01%      51.617us       1.665us           0 b           0 b           0 b           0 b            31  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      69.665us         0.01%      69.665us       2.247us           0 b           0 b           0 b           0 b            31  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 851.177ms
Self CUDA time total: 809.431ms
