-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void rocprim::detail::block_reduce_kernel<false, roc...         0.00%       0.000us         0.00%       0.000us       0.000us     117.760us         0.00%     117.760us       3.680us           0 b           0 b           0 b           0 b            32  
void rocprim::detail::block_reduce_kernel<true, rocp...         0.00%       0.000us         0.00%       0.000us       0.000us     142.080us         0.01%     142.080us       4.440us           0 b           0 b           0 b           0 b            32  
void at::native::(anonymous namespace)::write_indice...         0.00%       0.000us         0.00%       0.000us       0.000us     342.561us         0.01%     342.561us      10.705us           0 b           0 b           0 b           0 b            32  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     612.320us         0.02%     612.320us      19.135us           0 b           0 b           0 b           0 b            32  
Cijk_Alik_Bljk_HHS_BH_MT64x64x64_MI32x32x8x1_SE_1LDS...         0.00%       0.000us         0.00%       0.000us       0.000us     236.953ms         9.01%     236.953ms      55.675us           0 b           0 b           0 b           0 b          4256  
Cijk_Ailk_Bljk_HHS_BH_MT32x32x64_MI16x16x16x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us       2.754ms         0.10%       2.754ms      86.070us           0 b           0 b           0 b           0 b            32  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         0.05%       1.255ms      39.230us           0 b           0 b           0 b           0 b            32  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.897ms         0.07%       1.897ms      59.290us           0 b           0 b           0 b           0 b            32  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     178.080us         0.01%     178.080us       5.565us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     617.440us         0.02%     617.440us      19.295us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     766.401us         0.03%     766.401us      14.193us           0 b           0 b           0 b           0 b            54  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     879.841us         0.03%     879.841us      16.293us           0 b           0 b           0 b           0 b            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     292.640us         0.01%     292.640us       4.573us           0 b           0 b           0 b           0 b            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     290.880us         0.01%     290.880us       4.545us           0 b           0 b           0 b           0 b            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     161.760us         0.01%     161.760us       5.055us           0 b           0 b           0 b           0 b            32  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.371s
Self CUDA time total: 2.631s
